"","place","cases.100k","deaths.100k"
"1","Alabama",3145,51
"2","Alaska",1029,8
"3","American Samoa",0,0
"4","Arizona",3131,81
"5","Arkansas",2743,44
"6","California",2057,40
"7","Colorado",1256,37
"8","Connecticut",1596,126
"9","Delaware",2147,67
"10","District of Columbia",2230,91
"11","Florida",3405,69
"12","Georgia",3062,68
"13","Guam",1435,24
"14","Hawaii",858,9
"15","Idaho",2425,27
"16","Illinois",2278,69
"17","Indiana",1783,54
"18","Iowa",2772,42
"19","Kansas",1973,22
"20","Kentucky",1508,26
"21","Louisiana",3540,118
"22","Maine",398,11
"23","Maryland",2063,66
"24","Massachusetts",1919,138
"25","Michigan",1363,71
"26","Minnesota",1766,36
"27","Mississippi",3247,98
"28","Missouri",2047,34
"29","Montana",1192,17
"30","Nebraska",2340,25
"31","Nevada",2709,54
"32","New Hampshire",611,33
"33","New Jersey",2298,181
"34","New Mexico",1385,42
"35","New York",2327,167
"36","North Carolina",2051,34
"37","North Dakota",2790,32
"38","Northern Mariana Islands",128,4
"39","Ohio",1304,41
"40","Oklahoma",2173,26
"41","Oregon",808,13
"42","Pennsylvania",1226,63
"43","Puerto Rico",1400,19
"44","Rhode Island",2312,105
"45","South Carolina",2955,67
"46","South Dakota",2515,25
"47","Tennessee",2913,36
"48","Texas",2653,56
"49","Utah",2346,15
"50","Vermont",279,9
"51","Virgin Islands",1238,18
"52","Virginia",1742,38
"53","Washington",1183,29
"54","West Virginia",848,18
"55","Wisconsin",2150,22
"56","Wyoming",989,9
