"","cones","ntrees","dbh","height","cover"
"1",61,32,0.230000004172325,20.4200000762939,91.3000030517578
"2",4,4,0.270000010728836,15.1999998092651,61.5
"3",15,34,0.170000001788139,15.9700002670288,91.4000015258789
"4",9,22,0.230000004172325,22.4200000762939,92
"5",42,22,0.180000007152557,19.4500007629395,93.1999969482422
"6",4,21,0.230000004172325,23.0699996948242,93.5
"7",12,19,0.219999998807907,21.0599994659424,88.5
"8",27,15,0.259999990463257,18.8199996948242,88
"9",0,12,0.230000004172325,19.1599998474121,89.8000030517578
"10",4,9,0.119999997317791,6.38000011444092,73.3000030517578
"12",20,12,0.200000002980232,12.0200004577637,94.1999969482422
"13",5,15,0.189999997615814,9.0600004196167,76.8000030517578
"14",14,42,0.150000005960464,8.81999969482422,77.1999969482422
"15",35,74,0.150000005960464,17.9099998474121,91.3000030517578
"16",11,23,0.150000005960464,15.9300003051758,92.1999969482422
"17",47,67,0.140000000596046,13.789999961853,91.8000030517578
"18",17,33,0.170000001788139,14.6000003814697,88.5999984741211
"19",16,12,0.340000003576279,13.9899997711182,92.4000015258789
"20",0,7,0.400000005960464,16.1599998474121,85.1999969482422
"21",44,14,0.370000004768372,20.8799991607666,92.9000015258789
"22",18,23,0.230000004172325,15.539999961853,91.5
"23",9,13,0.270000010728836,16.9799995422363,90.6999969482422
"24",16,7,0.319999992847443,19.2000007629395,89
"25",60,11,0.259999990463257,20.0300006866455,93.5
"26",3,7,0.28999999165535,15.8699998855591,91.9000015258789
"27",5,10,0.349999994039536,20.8700008392334,90.6999969482422
"28",5,11,0.310000002384186,21.5499992370605,90.4000015258789
"29",2,3,0.419999986886978,20.3700008392334,69.9000015258789
"30",32,11,0.330000013113022,18.2700004577637,92.5999984741211
"31",55,15,0.319999992847443,24.5,91.4000015258789
"32",3,11,0.340000003576279,19.1200008392334,89.1999969482422
"33",18,14,0.349999994039536,22.9799995422363,87.5999984741211
"34",0,13,0.270000010728836,16.1100006103516,54.4000015258789
"35",11,7,0.349999994039536,22.2600002288818,93.0999984741211
"36",0,22,0.230000004172325,15.5500001907349,90.1999969482422
"37",6,18,0.330000013113022,20.9799995422363,93.5999984741211
"38",4,18,0.270000010728836,19.2099990844727,93.0999984741211
"39",0,9,0.349999994039536,24.1200008392334,84.4000015258789
"40",48,11,0.370000004768372,22.6800003051758,86.5
"41",7,16,0.259999990463257,21.2700004577637,91.0999984741211
"42",2,11,0.349999994039536,21.7000007629395,80.6999969482422
"43",3,12,0.349999994039536,21.4799995422363,83.3000030517578
"44",2,8,0.349999994039536,21.8700008392334,77.3000030517578
"45",21,9,0.330000013113022,21.6499996185303,80
"46",22,9,0.319999992847443,23.3199996948242,88
"47",4,12,0.360000014305115,22.7700004577637,81.0999984741211
"48",1,28,0.219999998807907,18.5300006866455,93.8000030517578
"49",3,30,0.189999997615814,16.1900005340576,84.8000030517578
"50",25,30,0.180000007152557,19.4699993133545,87.1999969482422
"51",57,36,0.170000001788139,17.0799999237061,89.5999984741211
"52",12,11,0.259999990463257,21.3600006103516,87.8000030517578
